Personal ID,prolific_pid,age,gender,educ_choice,country,languages,occupation_major,lit_genres_choice,movie_genres_choice,news_freq,news_source_choice,remembered_headlines,num_dc_rem,num_cb_rem,question,clickability,interest,familiarity,credibility,emotion_choice,is_cb,is_descr,is_mystery,is_documentary,topic
R_4DHF6qcvxwbZGqm,0,18-24,Мужской,Бакалавриат,sfyhty,tyjnty,tjntj,Фэнтези,Фэнтези,Несколько раз в день,X,,0,0,dc_s1,7,7,7,7,Любопытство,0,1,0,0,science
R_4DHF6qcvxwbZGqm,0,18-24,Мужской,Бакалавриат,sfyhty,tyjnty,tjntj,Фэнтези,Фэнтези,Несколько раз в день,X,,0,0,cb_s2,7,7,7,7,Любопытство,1,0,0,0,science
R_4q51faxMj52q5sd,0,55 - 64,Предпочитаю не указывать,Магистратура,ми,имт,мм,Научная фантастика,Фэнтези,Раз в день,Youtube,,0,0,dc_p1,7,7,7,7,Любопытство,0,1,0,0,politics
R_4q51faxMj52q5sd,0,55 - 64,Предпочитаю не указывать,Магистратура,ми,имт,мм,Научная фантастика,Фэнтези,Раз в день,Youtube,,0,0,cb_p2,7,7,7,7,Любопытство,1,0,0,0,politics
R_4q51faxMj52q5sd,0,55 - 64,Предпочитаю не указывать,Магистратура,ми,имт,мм,Научная фантастика,Фэнтези,Раз в день,Youtube,,0,0,cb_e1,6,6,6,5,Любопытство,1,0,0,0,entertainment
R_4q51faxMj52q5sd,0,55 - 64,Предпочитаю не указывать,Магистратура,ми,имт,мм,Научная фантастика,Фэнтези,Раз в день,Youtube,,0,0,dc_e2,2,5,2,4,Любопытство,0,1,0,0,entertainment
R_4q51faxMj52q5sd,0,55 - 64,Предпочитаю не указывать,Магистратура,ми,имт,мм,Научная фантастика,Фэнтези,Раз в день,Youtube,,0,0,dc_h1,1,6,5,3,Любопытство,0,1,0,0,health
R_4q51faxMj52q5sd,0,55 - 64,Предпочитаю не указывать,Магистратура,ми,имт,мм,Научная фантастика,Фэнтези,Раз в день,Youtube,,0,0,cb_h2,5,3,6,5,Страх,1,0,0,0,health
R_4q51faxMj52q5sd,0,55 - 64,Предпочитаю не указывать,Магистратура,ми,имт,мм,Научная фантастика,Фэнтези,Раз в день,Youtube,,0,0,cb_s1,7,7,7,7,Любопытство,1,0,0,0,science
R_4q51faxMj52q5sd,0,55 - 64,Предпочитаю не указывать,Магистратура,ми,имт,мм,Научная фантастика,Фэнтези,Раз в день,Youtube,,0,0,dc_s2,7,7,7,7,Злость,0,1,0,0,science
R_26mylGpw73wBEQ1,0,18-24,Женский,Бакалавриат,.,.,.,"Фэнтези,Детектив,Криминал","Научная фантастика,Детектив,Криминал",4,Instagram,"Климатическая катастрофа в КЗ, Трамп: Есть вероятность что закончится война, COVID—19 возвращение в масочный режим, Токаев высказался о кино, Токаев высказался о часовом поясе, Китайский марсоход, ЧП в роддоме",5,2,dc_p1,6,4,4,4,Надежда,0,1,1,0,politics
R_26mylGpw73wBEQ1,0,18-24,Женский,Бакалавриат,.,.,.,"Фэнтези,Детектив,Криминал","Научная фантастика,Детектив,Криминал",4,Instagram,"Климатическая катастрофа в КЗ, Трамп: Есть вероятность что закончится война, COVID—19 возвращение в масочный режим, Токаев высказался о кино, Токаев высказался о часовом поясе, Китайский марсоход, ЧП в роддоме",5,2,cb_p2,3,2,1,5,Не вызывает эмоции,1,0,1,0,politics
R_26mylGpw73wBEQ1,0,18-24,Женский,Бакалавриат,.,.,.,"Фэнтези,Детектив,Криминал","Научная фантастика,Детектив,Криминал",4,Instagram,"Климатическая катастрофа в КЗ, Трамп: Есть вероятность что закончится война, COVID—19 возвращение в масочный режим, Токаев высказался о кино, Токаев высказался о часовом поясе, Китайский марсоход, ЧП в роддоме",5,2,dc_e2,5,3,1,5,Любопытство,0,1,1,0,entertainment
R_26mylGpw73wBEQ1,0,18-24,Женский,Бакалавриат,.,.,.,"Фэнтези,Детектив,Криминал","Научная фантастика,Детектив,Криминал",4,Instagram,"Климатическая катастрофа в КЗ, Трамп: Есть вероятность что закончится война, COVID—19 возвращение в масочный режим, Токаев высказался о кино, Токаев высказался о часовом поясе, Китайский марсоход, ЧП в роддоме",5,2,dc_h1,5,3,5,7,Любопытство,0,1,1,0,health
R_26mylGpw73wBEQ1,0,18-24,Женский,Бакалавриат,.,.,.,"Фэнтези,Детектив,Криминал","Научная фантастика,Детектив,Криминал",4,Instagram,"Климатическая катастрофа в КЗ, Трамп: Есть вероятность что закончится война, COVID—19 возвращение в масочный режим, Токаев высказался о кино, Токаев высказался о часовом поясе, Китайский марсоход, ЧП в роддоме",5,2,cb_h2,3,2,1,6,Страх,1,0,1,0,health
R_26mylGpw73wBEQ1,0,18-24,Женский,Бакалавриат,.,.,.,"Фэнтези,Детектив,Криминал","Научная фантастика,Детектив,Криминал",4,Instagram,"Климатическая катастрофа в КЗ, Трамп: Есть вероятность что закончится война, COVID—19 возвращение в масочный режим, Токаев высказался о кино, Токаев высказался о часовом поясе, Китайский марсоход, ЧП в роддоме",5,2,cb_s1,4,1,1,6,Любопытство,1,0,1,0,science
R_26mylGpw73wBEQ1,0,18-24,Женский,Бакалавриат,.,.,.,"Фэнтези,Детектив,Криминал","Научная фантастика,Детектив,Криминал",4,Instagram,"Климатическая катастрофа в КЗ, Трамп: Есть вероятность что закончится война, COVID—19 возвращение в масочный режим, Токаев высказался о кино, Токаев высказался о часовом поясе, Китайский марсоход, ЧП в роддоме",5,2,dc_s2,6,5,1,4,Любопытство,0,1,1,0,science
R_2gRBlxLefcqGEO4,0,45 - 54,Женский,Доктор наук или степень выше,рк,рус,линг,Комедия,Комедия,Реже одного раза в месяц,Facebook,ыаы,0,0,dc_p1,2,2,2,2,Надежда,0,1,0,0,politics
R_2gRBlxLefcqGEO4,0,45 - 54,Женский,Доктор наук или степень выше,рк,рус,линг,Комедия,Комедия,Реже одного раза в месяц,Facebook,ыаы,0,0,cb_p2,1,1,1,1,Не вызывает эмоции,1,0,0,0,politics
R_2gRBlxLefcqGEO4,0,45 - 54,Женский,Доктор наук или степень выше,рк,рус,линг,Комедия,Комедия,Реже одного раза в месяц,Facebook,ыаы,0,0,cb_e1,1,1,1,1,Не вызывает эмоции,1,0,0,0,entertainment
R_2gRBlxLefcqGEO4,0,45 - 54,Женский,Доктор наук или степень выше,рк,рус,линг,Комедия,Комедия,Реже одного раза в месяц,Facebook,ыаы,0,0,dc_e2,3,3,3,3,Любопытство,0,1,0,0,entertainment
R_2gRBlxLefcqGEO4,0,45 - 54,Женский,Доктор наук или степень выше,рк,рус,линг,Комедия,Комедия,Реже одного раза в месяц,Facebook,ыаы,0,0,dc_h1,1,1,1,1,Не вызывает эмоции,0,1,0,0,health
R_2gRBlxLefcqGEO4,0,45 - 54,Женский,Доктор наук или степень выше,рк,рус,линг,Комедия,Комедия,Реже одного раза в месяц,Facebook,ыаы,0,0,cb_h2,5,5,5,5,Страх,1,0,0,0,health
R_2gRBlxLefcqGEO4,0,45 - 54,Женский,Доктор наук или степень выше,рк,рус,линг,Комедия,Комедия,Реже одного раза в месяц,Facebook,ыаы,0,0,cb_s1,3,3,3,3,Страх,1,0,0,0,science
R_2gRBlxLefcqGEO4,0,45 - 54,Женский,Доктор наук или степень выше,рк,рус,линг,Комедия,Комедия,Реже одного раза в месяц,Facebook,ыаы,0,0,dc_s2,3,3,3,3,Не вызывает эмоции,0,1,0,0,science
R_4DGbTLlICkd2Fzf,0,18-24,Женский,Бакалавриат,Казахстан ,Русский казахский,Литература ,"Фэнтези,Научная фантастика,Романтика","Романтика,Комедия,Документальные фильмы",Раз в неделю,Instagram,"Коронавирус: вернемся ли к маскам?
Токаев призвал народ прекратить дискуссии и смене часового пояса
На Марсе были найдены пляжные кратеры
",0,3,cb_p1,1,2,4,3,Не вызывает эмоции,1,0,0,1,politics
R_4DGbTLlICkd2Fzf,0,18-24,Женский,Бакалавриат,Казахстан ,Русский казахский,Литература ,"Фэнтези,Научная фантастика,Романтика","Романтика,Комедия,Документальные фильмы",Раз в неделю,Instagram,"Коронавирус: вернемся ли к маскам?
Токаев призвал народ прекратить дискуссии и смене часового пояса
На Марсе были найдены пляжные кратеры
",0,3,dc_p2,5,6,7,4,Злость,0,1,0,1,politics
R_4DGbTLlICkd2Fzf,0,18-24,Женский,Бакалавриат,Казахстан ,Русский казахский,Литература ,"Фэнтези,Научная фантастика,Романтика","Романтика,Комедия,Документальные фильмы",Раз в неделю,Instagram,"Коронавирус: вернемся ли к маскам?
Токаев призвал народ прекратить дискуссии и смене часового пояса
На Марсе были найдены пляжные кратеры
",0,3,dc_e1,6,6,5,6,Злость,0,1,0,1,entertainment
R_4DGbTLlICkd2Fzf,0,18-24,Женский,Бакалавриат,Казахстан ,Русский казахский,Литература ,"Фэнтези,Научная фантастика,Романтика","Романтика,Комедия,Документальные фильмы",Раз в неделю,Instagram,"Коронавирус: вернемся ли к маскам?
Токаев призвал народ прекратить дискуссии и смене часового пояса
На Марсе были найдены пляжные кратеры
",0,3,cb_e2,1,1,1,1,Не вызывает эмоции,1,0,0,1,entertainment
R_4DGbTLlICkd2Fzf,0,18-24,Женский,Бакалавриат,Казахстан ,Русский казахский,Литература ,"Фэнтези,Научная фантастика,Романтика","Романтика,Комедия,Документальные фильмы",Раз в неделю,Instagram,"Коронавирус: вернемся ли к маскам?
Токаев призвал народ прекратить дискуссии и смене часового пояса
На Марсе были найдены пляжные кратеры
",0,3,cb_h1,3,4,7,2,Страх,1,0,0,1,health
R_4DGbTLlICkd2Fzf,0,18-24,Женский,Бакалавриат,Казахстан ,Русский казахский,Литература ,"Фэнтези,Научная фантастика,Романтика","Романтика,Комедия,Документальные фильмы",Раз в неделю,Instagram,"Коронавирус: вернемся ли к маскам?
Токаев призвал народ прекратить дискуссии и смене часового пояса
На Марсе были найдены пляжные кратеры
",0,3,dc_h2,4,4,4,6,Надежда,0,1,0,1,health
R_4DGbTLlICkd2Fzf,0,18-24,Женский,Бакалавриат,Казахстан ,Русский казахский,Литература ,"Фэнтези,Научная фантастика,Романтика","Романтика,Комедия,Документальные фильмы",Раз в неделю,Instagram,"Коронавирус: вернемся ли к маскам?
Токаев призвал народ прекратить дискуссии и смене часового пояса
На Марсе были найдены пляжные кратеры
",0,3,dc_s1,3,3,4,4,Страх,0,1,0,1,science
R_4DGbTLlICkd2Fzf,0,18-24,Женский,Бакалавриат,Казахстан ,Русский казахский,Литература ,"Фэнтези,Научная фантастика,Романтика","Романтика,Комедия,Документальные фильмы",Раз в неделю,Instagram,"Коронавирус: вернемся ли к маскам?
Токаев призвал народ прекратить дискуссии и смене часового пояса
На Марсе были найдены пляжные кратеры
",0,3,cb_s2,2,2,2,2,Любопытство,1,0,0,1,science
R_4TvK1Qcsc4DxT60,0,18-24,Мужской,Бакалавриат,Казахстан,"Русский, Казахский",Инженер горного дела ,"Научная фантастика,Детектив,Криминал","Научная фантастика,Детектив,Комедия",Несколько раз в день,Instagram,"Ученые нашли следы курортов на Марсе
Коронавирус в Казахстане: маски и удаленка
Трамп сообщил о разговоре с путиным",0,3,cb_p1,2,3,3,3,Не вызывает эмоции,1,0,1,0,politics
R_4TvK1Qcsc4DxT60,0,18-24,Мужской,Бакалавриат,Казахстан,"Русский, Казахский",Инженер горного дела ,"Научная фантастика,Детектив,Криминал","Научная фантастика,Детектив,Комедия",Несколько раз в день,Instagram,"Ученые нашли следы курортов на Марсе
Коронавирус в Казахстане: маски и удаленка
Трамп сообщил о разговоре с путиным",0,3,dc_p2,5,5,6,3,Любопытство,0,1,1,0,politics
R_4TvK1Qcsc4DxT60,0,18-24,Мужской,Бакалавриат,Казахстан,"Русский, Казахский",Инженер горного дела ,"Научная фантастика,Детектив,Криминал","Научная фантастика,Детектив,Комедия",Несколько раз в день,Instagram,"Ученые нашли следы курортов на Марсе
Коронавирус в Казахстане: маски и удаленка
Трамп сообщил о разговоре с путиным",0,3,dc_e1,6,6,6,5,Злость,0,1,1,0,entertainment
R_4TvK1Qcsc4DxT60,0,18-24,Мужской,Бакалавриат,Казахстан,"Русский, Казахский",Инженер горного дела ,"Научная фантастика,Детектив,Криминал","Научная фантастика,Детектив,Комедия",Несколько раз в день,Instagram,"Ученые нашли следы курортов на Марсе
Коронавирус в Казахстане: маски и удаленка
Трамп сообщил о разговоре с путиным",0,3,cb_e2,7,3,2,2,Не вызывает эмоции,1,0,1,0,entertainment
R_4TvK1Qcsc4DxT60,0,18-24,Мужской,Бакалавриат,Казахстан,"Русский, Казахский",Инженер горного дела ,"Научная фантастика,Детектив,Криминал","Научная фантастика,Детектив,Комедия",Несколько раз в день,Instagram,"Ученые нашли следы курортов на Марсе
Коронавирус в Казахстане: маски и удаленка
Трамп сообщил о разговоре с путиным",0,3,cb_h1,3,4,7,4,Любопытство,1,0,1,0,health
R_4TvK1Qcsc4DxT60,0,18-24,Мужской,Бакалавриат,Казахстан,"Русский, Казахский",Инженер горного дела ,"Научная фантастика,Детектив,Криминал","Научная фантастика,Детектив,Комедия",Несколько раз в день,Instagram,"Ученые нашли следы курортов на Марсе
Коронавирус в Казахстане: маски и удаленка
Трамп сообщил о разговоре с путиным",0,3,dc_h2,2,2,1,4,Не вызывает эмоции,0,1,1,0,health
R_4TvK1Qcsc4DxT60,0,18-24,Мужской,Бакалавриат,Казахстан,"Русский, Казахский",Инженер горного дела ,"Научная фантастика,Детектив,Криминал","Научная фантастика,Детектив,Комедия",Несколько раз в день,Instagram,"Ученые нашли следы курортов на Марсе
Коронавирус в Казахстане: маски и удаленка
Трамп сообщил о разговоре с путиным",0,3,dc_s1,5,4,3,4,Страх,0,1,1,0,science
R_4TvK1Qcsc4DxT60,0,18-24,Мужской,Бакалавриат,Казахстан,"Русский, Казахский",Инженер горного дела ,"Научная фантастика,Детектив,Криминал","Научная фантастика,Детектив,Комедия",Несколько раз в день,Instagram,"Ученые нашли следы курортов на Марсе
Коронавирус в Казахстане: маски и удаленка
Трамп сообщил о разговоре с путиным",0,3,cb_s2,4,4,3,5,Любопытство,1,0,1,0,science
R_32XvLNzvPNgWcgN,0,55 - 64,Женский,Магистратура,Казахстан,Казазский,Врач,"Детектив,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Несколько раз в день,Онлайн новостные сайты (уточните),Трамп о войне в Украине,1,0,dc_p1,7,7,7,5,Воодушевление,0,1,1,1,politics
R_32XvLNzvPNgWcgN,0,55 - 64,Женский,Магистратура,Казахстан,Казазский,Врач,"Детектив,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Несколько раз в день,Онлайн новостные сайты (уточните),Трамп о войне в Украине,1,0,cb_p2,7,7,7,7,Злость,1,0,1,1,politics
R_32XvLNzvPNgWcgN,0,55 - 64,Женский,Магистратура,Казахстан,Казазский,Врач,"Детектив,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Несколько раз в день,Онлайн новостные сайты (уточните),Трамп о войне в Украине,1,0,cb_e1,5,5,1,4,Любопытство,1,0,1,1,entertainment
R_32XvLNzvPNgWcgN,0,55 - 64,Женский,Магистратура,Казахстан,Казазский,Врач,"Детектив,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Несколько раз в день,Онлайн новостные сайты (уточните),Трамп о войне в Украине,1,0,dc_e2,7,7,5,5,Надежда,0,1,1,1,entertainment
R_32XvLNzvPNgWcgN,0,55 - 64,Женский,Магистратура,Казахстан,Казазский,Врач,"Детектив,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Несколько раз в день,Онлайн новостные сайты (уточните),Трамп о войне в Украине,1,0,dc_h1,1,1,1,1,Не вызывает эмоции,0,1,1,1,health
R_32XvLNzvPNgWcgN,0,55 - 64,Женский,Магистратура,Казахстан,Казазский,Врач,"Детектив,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Несколько раз в день,Онлайн новостные сайты (уточните),Трамп о войне в Украине,1,0,cb_h2,1,1,1,1,Не вызывает эмоции,1,0,1,1,health
R_32XvLNzvPNgWcgN,0,55 - 64,Женский,Магистратура,Казахстан,Казазский,Врач,"Детектив,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Несколько раз в день,Онлайн новостные сайты (уточните),Трамп о войне в Украине,1,0,cb_s1,5,5,2,4,Любопытство,1,0,1,1,science
R_32XvLNzvPNgWcgN,0,55 - 64,Женский,Магистратура,Казахстан,Казазский,Врач,"Детектив,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Несколько раз в день,Онлайн новостные сайты (уточните),Трамп о войне в Украине,1,0,dc_s2,1,2,2,2,Не вызывает эмоции,0,1,1,1,science
R_2u0lVtPBAFkNhC1,0,35 - 44,Женский,Магистратура,Казахстан ,Казахский ,Учитель ,Научная фантастика,"Детектив,Комедия",Раз в день,Instagram,Ребенок из города Семей с предварительным диагнозом ,1,0,dc_p1,3,1,3,2,Не вызывает эмоции,0,1,1,0,politics
R_2u0lVtPBAFkNhC1,0,35 - 44,Женский,Магистратура,Казахстан ,Казахский ,Учитель ,Научная фантастика,"Детектив,Комедия",Раз в день,Instagram,Ребенок из города Семей с предварительным диагнозом ,1,0,cb_p2,7,6,6,6,Злость,1,0,1,0,politics
R_2u0lVtPBAFkNhC1,0,35 - 44,Женский,Магистратура,Казахстан ,Казахский ,Учитель ,Научная фантастика,"Детектив,Комедия",Раз в день,Instagram,Ребенок из города Семей с предварительным диагнозом ,1,0,cb_e1,1,1,1,1,Не вызывает эмоции,1,0,1,0,entertainment
R_2u0lVtPBAFkNhC1,0,35 - 44,Женский,Магистратура,Казахстан ,Казахский ,Учитель ,Научная фантастика,"Детектив,Комедия",Раз в день,Instagram,Ребенок из города Семей с предварительным диагнозом ,1,0,dc_e2,4,4,4,4,Не вызывает эмоции,0,1,1,0,entertainment
R_2u0lVtPBAFkNhC1,0,35 - 44,Женский,Магистратура,Казахстан ,Казахский ,Учитель ,Научная фантастика,"Детектив,Комедия",Раз в день,Instagram,Ребенок из города Семей с предварительным диагнозом ,1,0,dc_h1,1,7,1,1,Не вызывает эмоции,0,1,1,0,health
R_2u0lVtPBAFkNhC1,0,35 - 44,Женский,Магистратура,Казахстан ,Казахский ,Учитель ,Научная фантастика,"Детектив,Комедия",Раз в день,Instagram,Ребенок из города Семей с предварительным диагнозом ,1,0,cb_h2,3,3,1,3,Страх,1,0,1,0,health
R_2u0lVtPBAFkNhC1,0,35 - 44,Женский,Магистратура,Казахстан ,Казахский ,Учитель ,Научная фантастика,"Детектив,Комедия",Раз в день,Instagram,Ребенок из города Семей с предварительным диагнозом ,1,0,cb_s1,1,7,5,2,Любопытство,1,0,1,0,science
R_2u0lVtPBAFkNhC1,0,35 - 44,Женский,Магистратура,Казахстан ,Казахский ,Учитель ,Научная фантастика,"Детектив,Комедия",Раз в день,Instagram,Ребенок из города Семей с предварительным диагнозом ,1,0,dc_s2,1,3,1,3,Любопытство,0,1,1,0,science
R_2IKPCEePEuRBzVe,0,55 - 64,Женский,Среднее образование,Казахстан ,Казахский ,Фармацевт,"Научная фантастика,Детектив,Романтика","Детектив,Романтика,Документальные фильмы",Несколько раз в день,Instagram,"Корона вирус,Трамп,артисты",2,1,cb_p1,1,1,1,1,Не вызывает эмоции,1,0,1,1,politics
R_2IKPCEePEuRBzVe,0,55 - 64,Женский,Среднее образование,Казахстан ,Казахский ,Фармацевт,"Научная фантастика,Детектив,Романтика","Детектив,Романтика,Документальные фильмы",Несколько раз в день,Instagram,"Корона вирус,Трамп,артисты",2,1,dc_p2,1,1,1,1,Не вызывает эмоции,0,1,1,1,politics
R_2IKPCEePEuRBzVe,0,55 - 64,Женский,Среднее образование,Казахстан ,Казахский ,Фармацевт,"Научная фантастика,Детектив,Романтика","Детектив,Романтика,Документальные фильмы",Несколько раз в день,Instagram,"Корона вирус,Трамп,артисты",2,1,dc_e1,1,1,1,1,Не вызывает эмоции,0,1,1,1,entertainment
R_2IKPCEePEuRBzVe,0,55 - 64,Женский,Среднее образование,Казахстан ,Казахский ,Фармацевт,"Научная фантастика,Детектив,Романтика","Детектив,Романтика,Документальные фильмы",Несколько раз в день,Instagram,"Корона вирус,Трамп,артисты",2,1,cb_e2,1,1,1,1,Злость,1,0,1,1,entertainment
R_2IKPCEePEuRBzVe,0,55 - 64,Женский,Среднее образование,Казахстан ,Казахский ,Фармацевт,"Научная фантастика,Детектив,Романтика","Детектив,Романтика,Документальные фильмы",Несколько раз в день,Instagram,"Корона вирус,Трамп,артисты",2,1,cb_h1,1,1,1,1,Не вызывает эмоции,1,0,1,1,health
R_2IKPCEePEuRBzVe,0,55 - 64,Женский,Среднее образование,Казахстан ,Казахский ,Фармацевт,"Научная фантастика,Детектив,Романтика","Детектив,Романтика,Документальные фильмы",Несколько раз в день,Instagram,"Корона вирус,Трамп,артисты",2,1,dc_h2,1,1,1,1,Надежда,0,1,1,1,health
R_2IKPCEePEuRBzVe,0,55 - 64,Женский,Среднее образование,Казахстан ,Казахский ,Фармацевт,"Научная фантастика,Детектив,Романтика","Детектив,Романтика,Документальные фильмы",Несколько раз в день,Instagram,"Корона вирус,Трамп,артисты",2,1,dc_s1,1,1,1,1,Надежда,0,1,1,1,science
R_2IKPCEePEuRBzVe,0,55 - 64,Женский,Среднее образование,Казахстан ,Казахский ,Фармацевт,"Научная фантастика,Детектив,Романтика","Детектив,Романтика,Документальные фильмы",Несколько раз в день,Instagram,"Корона вирус,Трамп,артисты",2,1,cb_s2,1,1,1,1,Любопытство,1,0,1,1,science
R_8YPmMTD1qblZxYQ,0,45 - 54,Женский,Бакалавриат,Казахстан ,Казахский,Экономист ,"Романтика,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Раз в день,Онлайн новостные сайты (уточните),Токаев высказался о часовом поясе,0,1,dc_p1,7,7,7,7,Воодушевление,0,1,0,1,politics
R_8YPmMTD1qblZxYQ,0,45 - 54,Женский,Бакалавриат,Казахстан ,Казахский,Экономист ,"Романтика,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Раз в день,Онлайн новостные сайты (уточните),Токаев высказался о часовом поясе,0,1,cb_p2,5,5,5,5,Любопытство,1,0,0,1,politics
R_8YPmMTD1qblZxYQ,0,45 - 54,Женский,Бакалавриат,Казахстан ,Казахский,Экономист ,"Романтика,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Раз в день,Онлайн новостные сайты (уточните),Токаев высказался о часовом поясе,0,1,cb_e1,1,1,1,1,Злость,1,0,0,1,entertainment
R_8YPmMTD1qblZxYQ,0,45 - 54,Женский,Бакалавриат,Казахстан ,Казахский,Экономист ,"Романтика,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Раз в день,Онлайн новостные сайты (уточните),Токаев высказался о часовом поясе,0,1,dc_e2,1,1,1,1,Не вызывает эмоции,0,1,0,1,entertainment
R_8YPmMTD1qblZxYQ,0,45 - 54,Женский,Бакалавриат,Казахстан ,Казахский,Экономист ,"Романтика,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Раз в день,Онлайн новостные сайты (уточните),Токаев высказался о часовом поясе,0,1,dc_h1,1,1,1,1,Злость,0,1,0,1,health
R_8YPmMTD1qblZxYQ,0,45 - 54,Женский,Бакалавриат,Казахстан ,Казахский,Экономист ,"Романтика,Комедия,Документальная литература","Романтика,Комедия,Документальные фильмы",Раз в день,Онлайн новостные сайты (уточните),Токаев высказался о часовом поясе,0,1,cb_h2,2,2,2,2,Не вызывает эмоции,1,0,0,1,health
